#{"t_start": 1785693328.884478, "env_id": "None"}
r,l,t
-47366.59016,207,7.106768
-46880.694104,205,13.866282
-46431.093644,202,20.419393
-46836.501121,205,26.023947
-47725.908359,208,31.870091
-46211.421923,202,38.434513
-46317.121586,202,44.457006
-47383.7548,207,50.642517
-46051.530924,202,57.281499
-47330.751134,207,63.644006
-47168.936079,207,70.390321
-47026.456478,205,77.121746
-46870.397346,205,84.047941
-46690.349961,205,90.757086
-46553.919903,204,97.495537
-47308.22806,207,104.053602
-45606.255679,199,110.575399
-46778.295131,205,117.422569
-45898.979625,201,124.015332
-45827.282956,201,130.688057
