#{"t_start": 1785695006.7436597, "env_id": "None"}
r,l,t
-52137.317781,218,7.846566
-53600.804026,224,15.048991
-51909.319644,217,22.218942
-40032.048581,161,27.439982
-52606.011976,223,34.875749
-41027.782792,165,40.155409
-41027.884986,165,45.504879
-50504.263638,211,52.755401
-53418.607498,224,60.095654
-46470.818621,193,66.355822
-35685.083975,132,71.066907
-52557.623467,222,78.17076
-44453.315871,181,83.059617
-52590.772124,221,90.443466
-52822.422224,223,97.756336
-52630.625203,221,105.187054
-52843.082798,225,112.385364
-47907.612106,197,119.076021
-52744.466513,223,126.352734
-44910.117138,184,132.327088
