#{"t_start": 1785693781.7551842, "env_id": "None"}
r,l,t
-45417.141491,203,7.304733
-45384.246613,203,14.08632
-45034.790298,202,21.010547
-44620.775799,200,25.933454
-45133.869785,205,32.709362
-46452.620798,208,39.231517
-46229.167954,209,45.043876
-45726.641712,206,51.183625
-45431.597097,206,57.018915
-44074.100142,199,62.597287
-45327.84865,203,69.100918
-46743.17815,210,75.239948
-46625.015794,209,81.491515
-44797.641351,202,88.066659
-45458.993141,204,94.780029
-45261.377843,203,101.739766
-46363.97632,209,108.789719
-46235.957873,208,116.028393
-46247.650118,209,123.483935
